date,forecast_best,Product_ID
2024-01-31,111.49826,A001
2024-02-01,111.66253,A001
2024-02-02,111.71026,A001
2024-02-03,111.68129,A001
2024-02-04,111.57432,A001
2024-02-05,111.4463,A001
2024-02-06,111.33297,A001
2024-02-07,111.24846,A001
2024-02-08,111.24381,A001
2024-02-09,111.24011,A001
2024-02-10,111.23733,A001
2024-02-11,111.23527,A001
2024-02-12,111.23397,A001
2024-02-13,111.23321,A001
2024-02-14,111.23286,A001
2024-02-15,111.23278,A001
2024-02-16,111.232735,A001
2024-02-17,111.232704,A001
2024-02-18,111.23269,A001
2024-02-19,111.23268,A001
2024-02-20,111.23267,A001
2024-02-21,111.23267,A001
2024-02-22,111.23267,A001
2024-02-23,111.23267,A001
2024-02-24,111.23267,A001
2024-02-25,111.23267,A001
2024-02-26,111.23267,A001
2024-02-27,111.23267,A001
2024-02-28,111.23267,A001
2024-02-29,111.23267,A001
2024-01-31,96.75057,A002
2024-02-01,95.90637,A002
2024-02-02,95.16842,A002
2024-02-03,94.45725,A002
2024-02-04,93.782684,A002
2024-02-05,93.205154,A002
2024-02-06,92.712204,A002
2024-02-07,92.28697,A002
2024-02-08,92.17103,A002
2024-02-09,92.080956,A002
2024-02-10,92.01128,A002
2024-02-11,91.95931,A002
2024-02-12,91.92216,A002
2024-02-13,91.89685,A002
2024-02-14,91.88069,A002
2024-02-15,91.87157,A002
2024-02-16,91.86507,A002
2024-02-17,91.8605,A002
2024-02-18,91.85737,A002
2024-02-19,91.85527,A002
2024-02-20,91.8539,A002
2024-02-21,91.85299,A002
2024-02-22,91.8524,A002
2024-02-23,91.852,A002
2024-02-24,91.85173,A002
2024-02-25,91.85154,A002
2024-02-26,91.851425,A002
2024-02-27,91.85134,A002
2024-02-28,91.85129,A002
2024-02-29,91.85126,A002
2024-01-31,40.03008,A003
2024-02-01,40.055336,A003
2024-02-02,40.027473,A003
2024-02-03,39.973976,A003
2024-02-04,39.885586,A003
2024-02-05,39.787254,A003
2024-02-06,39.69882,A003
2024-02-07,39.625435,A003
2024-02-08,39.62344,A003
2024-02-09,39.621292,A003
2024-02-10,39.619335,A003
2024-02-11,39.61773,A003
2024-02-12,39.616615,A003
2024-02-13,39.615932,A003
2024-02-14,39.615658,A003
2024-02-15,39.615616,A003
2024-02-16,39.61558,A003
2024-02-17,39.61556,A003
2024-02-18,39.615543,A003
2024-02-19,39.615532,A003
2024-02-20,39.61553,A003
2024-02-21,39.61553,A003
2024-02-22,39.61553,A003
2024-02-23,39.61553,A003
2024-02-24,39.61553,A003
2024-02-25,39.61553,A003
2024-02-26,39.61553,A003
2024-02-27,39.61553,A003
2024-02-28,39.61553,A003
2024-02-29,39.61553,A003
